name,adcode,gb
北京市,110000,156110000
天津市,120000,156120000
石家庄市,130100,156130100
唐山市,130200,156130200
秦皇岛市,130300,156130300
邯郸市,130400,156130400
邢台市,130500,156130500
保定市,130600,156130600
张家口市,130700,156130700
承德市,130800,156130800
沧州市,130900,156130900
廊坊市,131000,156131000
衡水市,131100,156131100
太原市,140100,156140100
大同市,140200,156140200
阳泉市,140300,156140300
长治市,140400,156140400
晋城市,140500,156140500
朔州市,140600,156140600
晋中市,140700,156140700
运城市,140800,156140800
忻州市,140900,156140900
临汾市,141000,156141000
吕梁市,141100,156141100
呼和浩特市,150100,156150100
包头市,150200,156150200
乌海市,150300,156150300
赤峰市,150400,156150400
通辽市,150500,156150500
鄂尔多斯市,150600,156150600
呼伦贝尔市,150700,156150700
巴彦淖尔市,150800,156150800
乌兰察布市,150900,156150900
兴安盟,152200,156152200
锡林郭勒盟,152500,156152500
阿拉善盟,152900,156152900
沈阳市,210100,156210100
大连市,210200,156210200
鞍山市,210300,156210300
抚顺市,210400,156210400
本溪市,210500,156210500
丹东市,210600,156210600
锦州市,210700,156210700
营口市,210800,156210800
阜新市,210900,156210900
辽阳市,211000,156211000
盘锦市,211100,156211100
铁岭市,211200,156211200
朝阳市,211300,156211300
葫芦岛市,211400,156211400
长春市,220100,156220100
吉林市,220200,156220200
四平市,220300,156220300
辽源市,220400,156220400
通化市,220500,156220500
白山市,220600,156220600
松原市,220700,156220700
白城市,220800,156220800
延边朝鲜族自治州,222400,156222400
哈尔滨市,230100,156230100
齐齐哈尔市,230200,156230200
鸡西市,230300,156230300
鹤岗市,230400,156230400
双鸭山市,230500,156230500
大庆市,230600,156230600
伊春市,230700,156230700
佳木斯市,230800,156230800
七台河市,230900,156230900
牡丹江市,231000,156231000
黑河市,231100,156231100
绥化市,231200,156231200
大兴安岭地区,232700,156232700
上海市,310000,156310000
南京市,320100,156320100
无锡市,320200,156320200
徐州市,320300,156320300
常州市,320400,156320400
苏州市,320500,156320500
南通市,320600,156320600
连云港市,320700,156320700
淮安市,320800,156320800
盐城市,320900,156320900
扬州市,321000,156321000
镇江市,321100,156321100
泰州市,321200,156321200
宿迁市,321300,156321300
杭州市,330100,156330100
宁波市,330200,156330200
温州市,330300,156330300
嘉兴市,330400,156330400
湖州市,330500,156330500
绍兴市,330600,156330600
金华市,330700,156330700
衢州市,330800,156330800
舟山市,330900,156330900
台州市,331000,156331000
丽水市,331100,156331100
合肥市,340100,156340100
芜湖市,340200,156340200
蚌埠市,340300,156340300
淮南市,340400,156340400
马鞍山市,340500,156340500
淮北市,340600,156340600
铜陵市,340700,156340700
安庆市,340800,156340800
黄山市,341000,156341000
滁州市,341100,156341100
阜阳市,341200,156341200
宿州市,341300,156341300
六安市,341500,156341500
亳州市,341600,156341600
池州市,341700,156341700
宣城市,341800,156341800
福州市,350100,156350100
厦门市,350200,156350200
莆田市,350300,156350300
三明市,350400,156350400
泉州市,350500,156350500
漳州市,350600,156350600
南平市,350700,156350700
龙岩市,350800,156350800
宁德市,350900,156350900
南昌市,360100,156360100
景德镇市,360200,156360200
萍乡市,360300,156360300
九江市,360400,156360400
新余市,360500,156360500
鹰潭市,360600,156360600
赣州市,360700,156360700
吉安市,360800,156360800
宜春市,360900,156360900
抚州市,361000,156361000
上饶市,361100,156361100
济南市,370100,156370100
青岛市,370200,156370200
淄博市,370300,156370300
枣庄市,370400,156370400
东营市,370500,156370500
烟台市,370600,156370600
潍坊市,370700,156370700
济宁市,370800,156370800
泰安市,370900,156370900
威海市,371000,156371000
日照市,371100,156371100
临沂市,371300,156371300
德州市,371400,156371400
聊城市,371500,156371500
滨州市,371600,156371600
菏泽市,371700,156371700
郑州市,410100,156410100
开封市,410200,156410200
洛阳市,410300,156410300
平顶山市,410400,156410400
安阳市,410500,156410500
鹤壁市,410600,156410600
新乡市,410700,156410700
焦作市,410800,156410800
濮阳市,410900,156410900
许昌市,411000,156411000
漯河市,411100,156411100
三门峡市,411200,156411200
南阳市,411300,156411300
商丘市,411400,156411400
信阳市,411500,156411500
周口市,411600,156411600
驻马店市,411700,156411700
济源市,419001,156419001
武汉市,420100,156420100
黄石市,420200,156420200
十堰市,420300,156420300
宜昌市,420500,156420500
襄阳市,420600,156420600
鄂州市,420700,156420700
荆门市,420800,156420800
孝感市,420900,156420900
荆州市,421000,156421000
黄冈市,421100,156421100
咸宁市,421200,156421200
随州市,421300,156421300
恩施土家族苗族自治州,422800,156422800
仙桃市,429004,156429004
潜江市,429005,156429005
天门市,429006,156429006
神农架林区,429021,156429021
长沙市,430100,156430100
株洲市,430200,156430200
湘潭市,430300,156430300
衡阳市,430400,156430400
邵阳市,430500,156430500
岳阳市,430600,156430600
常德市,430700,156430700
张家界市,430800,156430800
益阳市,430900,156430900
郴州市,431000,156431000
永州市,431100,156431100
怀化市,431200,156431200
娄底市,431300,156431300
湘西土家族苗族自治州,433100,156433100
广州市,440100,156440100
韶关市,440200,156440200
深圳市,440300,156440300
珠海市,440400,156440400
汕头市,440500,156440500
佛山市,440600,156440600
江门市,440700,156440700
湛江市,440800,156440800
茂名市,440900,156440900
肇庆市,441200,156441200
惠州市,441300,156441300
