name,adcode,gb
东城区,110101,156110101
西城区,110102,156110102
朝阳区,110105,156110105
丰台区,110106,156110106
石景山区,110107,156110107
海淀区,110108,156110108
门头沟区,110109,156110109
房山区,110111,156110111
通州区,110112,156110112
顺义区,110113,156110113
昌平区,110114,156110114
大兴区,110115,156110115
怀柔区,110116,156110116
平谷区,110117,156110117
密云区,110118,156110118
延庆区,110119,156110119
和平区,120101,156120101
河东区,120102,156120102
河西区,120103,156120103
南开区,120104,156120104
河北区,120105,156120105
红桥区,120106,156120106
东丽区,120110,156120110
西青区,120111,156120111
津南区,120112,156120112
北辰区,120113,156120113
武清区,120114,156120114
宝坻区,120115,156120115
滨海新区,120116,156120116
宁河区,120117,156120117
静海区,120118,156120118
蓟州区,120119,156120119
长安区,130102,156130102
桥西区,130104,156130104
新华区,130105,156130105
井陉矿区,130107,156130107
裕华区,130108,156130108
藁城区,130109,156130109
鹿泉区,130110,156130110
栾城区,130111,156130111
井陉县,130121,156130121
正定县,130123,156130123
行唐县,130125,156130125
灵寿县,130126,156130126
高邑县,130127,156130127
深泽县,130128,156130128
赞皇县,130129,156130129
无极县,130130,156130130
平山县,130131,156130131
元氏县,130132,156130132
赵县,130133,156130133
辛集市,130181,156130181
晋州市,130183,156130183
新乐市,130184,156130184
路南区,130202,156130202
路北区,130203,156130203
古冶区,130204,156130204
开平区,130205,156130205
丰南区,130207,156130207
丰润区,130208,156130208
曹妃甸区,130209,156130209
滦南县,130224,156130224
乐亭县,130225,156130225
迁西县,130227,156130227
玉田县,130229,156130229
遵化市,130281,156130281
迁安市,130283,156130283
滦州市,130284,156130284
海港区,130302,156130302
山海关区,130303,156130303
北戴河区,130304,156130304
抚宁区,130306,156130306
青龙满族自治县,130321,156130321
昌黎县,130322,156130322
卢龙县,130324,156130324
邯山区,130402,156130402
丛台区,130403,156130403
复兴区,130404,156130404
峰峰矿区,130406,156130406
肥乡区,130407,156130407
永年区,130408,156130408
临漳县,130423,156130423
成安县,130424,156130424
大名县,130425,156130425
涉县,130426,156130426
磁县,130427,156130427
邱县,130430,156130430
鸡泽县,130431,156130431
广平县,130432,156130432
馆陶县,130433,156130433
魏县,130434,156130434
曲周县,130435,156130435
武安市,130481,156130481
襄都区,130502,156130502
信都区,130503,156130503
任泽区,130505,156130505
南和区,130506,156130506
临城县,130522,156130522
内丘县,130523,156130523
柏乡县,130524,156130524
隆尧县,130525,156130525
宁晋县,130528,156130528
巨鹿县,130529,156130529
新河县,130530,156130530
广宗县,130531,156130531
平乡县,130532,156130532
威县,130533,156130533
清河县,130534,156130534
临西县,130535,156130535
南宫市,130581,156130581
沙河市,130582,156130582
竞秀区,130602,156130602
莲池区,130606,156130606
满城区,130607,156130607
清苑区,130608,156130608
徐水区,130609,156130609
涞水县,130623,156130623
阜平县,130624,156130624
定兴县,130626,156130626
唐县,130627,156130627
高阳县,130628,156130628
容城县,130629,156130629
涞源县,130630,156130630
望都县,130631,156130631
安新县,130632,156130632
易县,130633,156130633
曲阳县,130634,156130634
蠡县,130635,156130635
顺平县,130636,156130636
博野县,130637,156130637
雄县,130638,156130638
涿州市,130681,156130681
定州市,130682,156130682
安国市,130683,156130683
高碑店市,130684,156130684
桥东区,130702,156130702
桥西区,130703,156130703
宣化区,130705,156130705
