name,adcode,gb
北京市,110000,156110000
天津市,120000,156120000
河北省,130000,156130000
山西省,140000,156140000
内蒙古自治区,150000,156150000
辽宁省,210000,156210000
吉林省,220000,156220000
黑龙江省,230000,156230000
上海市,310000,156310000
江苏省,320000,156320000
浙江省,330000,156330000
安徽省,340000,156340000
福建省,350000,156350000
江西省,360000,156360000
山东省,370000,156370000
河南省,410000,156410000
湖北省,420000,156420000
湖南省,430000,156430000
广东省,440000,156440000
广西壮族自治区,450000,156450000
海南省,460000,156460000
重庆市,500000,156500000
四川省,510000,156510000
贵州省,520000,156520000
云南省,530000,156530000
西藏自治区,540000,156540000
陕西省,610000,156610000
甘肃省,620000,156620000
青海省,630000,156630000
宁夏回族自治区,640000,156640000
新疆维吾尔自治区,650000,156650000
台湾省,710000,156710000
香港特别行政区,810000,156810000
澳门特别行政区,820000,156820000
